Predictor variable,Categorical,Sample average
actual_evapotranspiration,false,103.41666666666667
bio10_mean_temp_warm,false,26.583333333333332
bio11_mean_temp_cold,false,9.166666666666666
bio12_total_precip,false,183.66666666666666
bio13_precip_wettest_month,false,36.583333333333336
bio14_precip_driest_month,false,0.0
bio15_precip_seasonality,false,83.0
bio16_precip_wettest_q,false,102.16666666666667
bio17_precip_driest_q,false,3.0
bio18_precip_warmest,false,3.0
bio19_precip_coldest,false,92.66666666666667
bio1_mean_temp,false,17.916666666666668
bio2_mean_temp_range,false,16.333333333333332
bio3_isothermality,false,45.833333333333336
bio4_temp_seasonality,false,704.6666666666666
bio5_max_temp,false,37.5
bio6_min_temp,false,1.6666666666666667
bio7_temp_range,false,35.666666666666664
clay,false,368.3333333333333
elevation,false,73.16666666666667
net_primary_productivity,false,3438.0
pH,false,81.16666666666667
sand,false,257.0
silt,false,378.5833333333333
slope,false,0.16666666666666666
snowcover_depth,false,0.0
soil_moisture,false,11.416666666666666
solar_radiation,false,2028.3333333333333
vapor_pressure,false,393.5833333333333
