X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-120.278,36.60173,train,0.006897652122339252,28.938321533661806,0.4422034196206328
-119.579,35.7465,train,0.016065388805585987,42.11042654947938,0.7432476515772521
-119.579,35.73335,train,0.014702732666624259,40.50393937892628,0.7118629944675019
-119.579,35.70509,train,0.029967116342738083,71.24930027888811,0.9208311171276767
-119.735,35.73166,train,0.027398265971682344,68.25080258053157,0.9016050146213628
-119.646,35.61697,train,0.032494071133199236,77.4964329609909,0.9360742332421252
-119.617,35.61381,train,0.058325918947417954,100.0,0.9928183733093152
-119.579,35.63978,train,0.042071452485408854,88.57810938306734,0.9715777812996534
-119.049,35.09596,train,0.008277786728989467,31.239176893126352,0.5036948175511752
-119.563,35.50013,train,0.024637884894340264,63.034921303234114,0.8757114413213314
-119.254,35.12976,train,0.021033926905778027,53.66486289656436,0.8313854206876241
-119.589,35.7337,train,0.020499585870229195,51.56031741524539,0.8235852467511289
